match_id,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,score
335982,2008-04-18,M Chinnaswamy Stadium,2,0.3,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,R Dravid,AB Dinda,2
335982,2008-04-18,M Chinnaswamy Stadium,2,0.4,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,R Dravid,AB Dinda,3
335982,2008-04-18,M Chinnaswamy Stadium,2,0.5,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,W Jaffer,AB Dinda,4
335982,2008-04-18,M Chinnaswamy Stadium,2,0.6,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,R Dravid,AB Dinda,4
335982,2008-04-18,M Chinnaswamy Stadium,2,0.7,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,R Dravid,AB Dinda,4
335982,2008-04-18,M Chinnaswamy Stadium,2,1.1,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,W Jaffer,I Sharma,4
335982,2008-04-18,M Chinnaswamy Stadium,2,1.2,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,W Jaffer,I Sharma,4
335982,2008-04-18,M Chinnaswamy Stadium,2,1.3,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,W Jaffer,I Sharma,8
335982,2008-04-18,M Chinnaswamy Stadium,2,1.4,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,W Jaffer,I Sharma,9
335982,2008-04-18,M Chinnaswamy Stadium,2,1.5,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,V Kohli,I Sharma,9
335982,2008-04-18,M Chinnaswamy Stadium,2,1.6,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,V Kohli,I Sharma,9
335982,2008-04-18,M Chinnaswamy Stadium,2,2.1,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,W Jaffer,AB Dinda,9
335982,2008-04-18,M Chinnaswamy Stadium,2,2.2,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,W Jaffer,AB Dinda,9
335982,2008-04-18,M Chinnaswamy Stadium,2,2.3,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,W Jaffer,AB Dinda,10
335982,2008-04-18,M Chinnaswamy Stadium,2,2.4,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,AB Dinda,10
335982,2008-04-18,M Chinnaswamy Stadium,2,2.5,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,AB Dinda,11
335982,2008-04-18,M Chinnaswamy Stadium,2,2.6,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,AB Dinda,11
335982,2008-04-18,M Chinnaswamy Stadium,2,2.7,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,AB Dinda,12
335982,2008-04-18,M Chinnaswamy Stadium,2,3.1,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,I Sharma,14
335982,2008-04-18,M Chinnaswamy Stadium,2,3.2,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,I Sharma,15
335982,2008-04-18,M Chinnaswamy Stadium,2,3.3,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,W Jaffer,I Sharma,15
335982,2008-04-18,M Chinnaswamy Stadium,2,3.4,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,W Jaffer,I Sharma,16
335982,2008-04-18,M Chinnaswamy Stadium,2,3.5,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,I Sharma,16
335982,2008-04-18,M Chinnaswamy Stadium,2,3.6,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,I Sharma,16
335982,2008-04-18,M Chinnaswamy Stadium,2,4.1,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,W Jaffer,AB Agarkar,17
